pattern_key_v2,n,1号艇,威力1位,威力2位,威力3位,威力4位,威力5位
1号[粘り型] | 筆頭[2号:差し] | 連動有,26888,0.6596994941981553,0.12685956560547457,0.09431716750966974,0.06259297828027373,0.04061291282356441,0.015917881582862243
1号[差され型] | 筆頭[3号:まくり] | 連動有,2698,0.3902891030392884,0.2575982209043736,0.15270570793180133,0.10896960711638251,0.06486286137879911,0.02557449962935508
1号[粘り型] | 筆頭[4号:差し] | 連動有,2671,0.6798951703481843,0.11643579183826282,0.08011980531636091,0.06327218270310744,0.04492699363534257,0.015350056158742045
1号[差され型] | 筆頭[4号:まくり] | 連動有,2653,0.38786279683377306,0.2502826988315115,0.16245759517527328,0.1127026008292499,0.06181681115718055,0.024877497173011683
1号[まくられ型] | 筆頭[2号:まくり] | 連動有,1929,0.4069466044582685,0.24468636599274235,0.16277864178330742,0.10471747019180923,0.05857957490927942,0.022291342664593053
1号[差され型] | 筆頭[3号:まくり差し] | 連動有,1923,0.37285491419656785,0.3047321892875715,0.15548621944877794,0.09776391055642225,0.0530421216848674,0.01612064482579303
1号[まくり差され型] | 筆頭[2号:差し] | 連動有,1617,0.4551638837353123,0.2653061224489796,0.12183055040197897,0.08348794063079777,0.05875077303648732,0.015460729746444033
1号[粘り型] | 筆頭[5号:まくり] | 連動有,1329,0.6328066215199398,0.12114371708051166,0.10158013544018059,0.07900677200902935,0.05191873589164785,0.013544018058690745
1号[粘り型] | 筆頭[3号:差し] | 連動有,1321,0.6805450416351249,0.1105223315669947,0.07040121120363362,0.0757002271006813,0.04239212717638153,0.02043906131718395
1号[差され型] | 筆頭[2号:まくり] | 連動有,1217,0.3853738701725555,0.23746918652423993,0.15940838126540674,0.1306491372226787,0.0599835661462613,0.027115858668857847
1号[粘り型] | 筆頭[3号:まくり] | 連動無,1125,0.6968888888888889,0.12088888888888889,0.07822222222222222,0.05422222222222222,0.036444444444444446,0.013333333333333334
1号[まくり差され型] | 筆頭[3号:まくり] | 連動有,1117,0.4521038495971352,0.21128021486123547,0.1468218442256043,0.11101163831692032,0.05908683974932856,0.019695613249776187
1号[差され型] | 筆頭[2号:差し] | 連動無,1112,0.4244604316546763,0.25359712230215825,0.12679856115107913,0.10251798561151079,0.06474820143884892,0.02787769784172662
1号[まくり差され型] | 筆頭[3号:まくり差し] | 連動有,1051,0.4224548049476689,0.23882017126546146,0.16745956232159848,0.09895337773549001,0.05518553758325404,0.017126546146527116
1号[まくり差され型] | 筆頭[4号:まくり] | 連動有,982,0.42362525458248473,0.2209775967413442,0.159877800407332,0.09979633401221996,0.07230142566191446,0.023421588594704685
1号[まくられ型] | 筆頭[2号:差し] | 連動無,911,0.4522502744237102,0.2502744237102086,0.12952799121844127,0.09110867178924259,0.059275521405049394,0.01756311745334797
1号[粘り型] | 筆頭[4号:まくり] | 連動無,877,0.6955530216647663,0.12542759407069556,0.07753705815279362,0.06043329532497149,0.029646522234891677,0.011402508551881414
